fathers have eaten sour grapes 19181
before many years have passed 17991
should have been made before 13878
should have been done before 11817
random walk down wall street 10993
fallen from their high estate 6643
should have been much better 6179
should have been used instead 5003
should have left well enough 4499
broken down into three groups 4124
whether there have been changes 3773
should have been done earlier 3651
million jobs have been created 3630
broken down into three phases 3507
debate over health care reform 3453
should have been made without 3432
should have been laid before 3305
emerge from their hiding places 3152
should have been here before 3149
recent years have been marked 3136
should have been well pleased 3001
states laws have been passed 2966
should have done much better 2932
should have been made earlier 2923
redeem their soul from deceit 2812
should have been made public 2800
broken down into three stages 2727
second reading third reading tabled 2717
slaves once more their native 2598
should have been left behind 2593
before many days have passed 2578
better have been left unsaid 2481
should also tell your doctor 2406
hebrew term used here refers 2383
orders have also been placed 2345
special acts have been passed 2335
should have been much higher 2307
should have been more clearly 2292
should ever have been thought 2289
should have been kept secret 2272
choose from among their number 2250
handed down from their fathers 2156
injury must have been caused 2077
unless there were good reasons 2057
select from among their number 2045
unless there were some special 2014
orders have also been issued 2003
income from some other source 1995
impose upon your good nature 1938
seller must give such notice 1822
should have been much greater 1812
should have been more strange 1804
should have made some effort 1778
should have been good enough 1774
broken down into four groups 1771
various acts have been passed 1762
should have been done without 1696
should have been here sooner 1686
should have been much larger 1685
should have been left without 1676
someone must have seen something 1649
should like very much indeed 1630
should have been here earlier 1628
should ever have been called 1611
without ever having been taught 1604
special laws have been passed 1572
changes have been made without 1563
should have been paid before 1550
further show unto your honors 1546
doubts have also been raised 1487
myself have done unto myself 1471
screen will look like figure 1460
sacred vials pour your graces 1460
broken down into four phases 1448
meetings have been held monthly 1447
should have been made through 1435
issues have also been raised 1424
should have been very pleased 1420
broken down into four stages 1393
should have been more honest 1389
various laws have been passed 1383
hardly have been done better 1383
renown rose from their thrones 1339
melted away like snow before 1332
damage must have been caused 1314
courts have gone even further 1304
should have been done sooner 1301
reasons turn into your bosoms 1300
should have gone much further 1289
injury from late spring frosts 1252
should have been more pleased 1251
should have been glad enough 1249
blacks were much more likely 1248
battle must have been fought 1247
should have been more likely 1246
groups have also been formed 1243
should have been much pleased 1235
should have been more active 1234
nobles have sent their little 1231
chosen from among their number 1228
person upon whom such notice 1213
supply from some other source 1201
something will have been gained 1186
mothers were much more likely 1182
should have been held before 1172
should also give some thought 1163
arises only from such person 1155
papers have been laid before 1151
better have been left undone 1132
someone must have been watching 1124
depend very much upon whether 1114
should have been paying closer 1098
almost three years have passed 1087
should have been there before 1081
effort will have been wasted 1078
prices have been rising faster 1074
muscle tone limp some flexion 1069
changes have been made except 1068
sudden coming there will double 1049
should have been told before 1028
prices have been more stable 1027
should have been held sacred 1026
broken down into three levels 1022
hardly have been made without 1013
learned from three mile island 1001
changes will come into effect 986
accruing from such third person 977
should have been here already 976
groups were much more likely 976
without moving from their places 975
should have come back sooner 975
tenant from whom such arrears 968
emerging from their hiding places 960
christ will have life without 957
whether there were other reasons 953
gravel pits have been opened 951
groups have also been active 942
broken down into more detail 930
should have done well enough 929
should have been wise enough 924
friend from north cape breton 916
states have been very active 903
someone must have said something 902
methods have been used widely 900
frenzy died three days before 899
before these laws were passed 899
should have gone into effect 898
screen door slam shut behind 893
flight only when such flight 890
should have been heard before 886
mothers were also more likely 885
opinion will help other readers 884
remark will hold good through 875
states have gone even further 873
handed down from your fathers 873
person from whom such sample 867
states code when such claims 863
should ever have been raised 856
