_start_ distribute into tubes or 17912
_start_ precautions were taken to 15188
_start_ translated into terms of 7929
_start_ regulations made under the 7245
_start_ researchers have begun to 5507
_start_ historical note title of 5318
_start_ historical note notes of 5005
_start_ particular care shall be 4256
_start_ researchers have tried to 4125
_start_ eventually there would be 3571
_start_ defendants have moved to 3155
_start_ presumably there would be 3007
_start_ immediately upon learning of 2834
_start_ relatively high rates of 2510
_start_ recipients must agree to 2467
_start_ continuous clay films on 2403
_start_ translation into latin of 2265
_start_ translated into latin by 2109
_start_ metastases were found in 2082
_start_ particular care needs to 2060
_start_ manchester ship canal co 2010
_start_ discussions took place on 1968
_start_ deliveries will begin in 1930
_start_ inevitably there would be 1913
_start_ grievances were taken up 1911
_start_ scientists have tried to 1796
_start_ barricades were thrown up 1795
_start_ principals were asked to 1730
_start_ ordinarily there would be 1708
_start_ principles upon which the 1686
_start_ affidavits were filed in 1657
_start_ postmaster send change of 1618
_start_ affidavits were filed by 1582
_start_ volunteers were asked to 1576
_start_ interviews took place in 1572
_start_ applicants must agree to 1523
_start_ translated into prose by 1520
_start_ informants were asked to 1516
_start_ depositions were taken in 1491
_start_ discussions took place in 1476
_start_ assurances were given by 1458
_start_ everywhere were signs of 1457
_start_ entertaining these views of 1397
_start_ immediately upon closing the 1381
_start_ discussions will focus on 1375
_start_ historical data appear in 1354
_start_ discussions were based on 1347
_start_ candidates must apply to 1322
_start_ afterwards there would be 1307
_start_ immediately upon reaching the 1305
_start_ translated from hindi by 1299
_start_ prescribed fire would be 1292
_start_ economists have tried to 1287
_start_ negotiations took place in 1278
_start_ negotiations were begun in 1254
_start_ sufficient time shall be 1236
_start_ activities will focus on 1232
_start_ translation into greek of 1221
_start_ conclusions were based on 1175
_start_ evaluations were based on 1150
_start_ combination pump valve co 1150
_start_ researchers have found the 1144
_start_ regulations were drawn up 1133
_start_ applicants were asked to 1124
_start_ apparently there would be 1121
_start_ depositions were taken by 1103
_start_ departures will occur at 1101
_start_ researchers have noted the 1098
_start_ employment cost index by 1092
_start_ scientists have begun to 1090
_start_ precautions were taken in 1082
_start_ frequently there would be 1008
_start_ affidavits were filed on 1007
_start_ depositions were taken on 980
