yeas and nays were taken 495285
did not know much about 254480
does not make much sense 97376
did not even know where 82302
you can learn more about 76943
and for some time after 75046
did not know what would 71353
that has been said about 65788
deal has been said about 65601
did not even think about 62758
has not been seen since 58412
did not think much about 56945
did not even know about 55559
did not have much money 52105
may see your good works 51595
did not care much about 50376
did not make much sense 45711
had not been seen since 45075
may not have been aware 44835
does not know much about 44470
did not think there would 41454
and for many years after 39336
may not have been fully 39192
and has been ever since 37980
did not feel like talking 33202
that has been taking place 32988
that they have been given 32901
any man will come after 32349
and all such laws shall 31035
can not last much longer 28261
did not talk much about 27823
who had lost their lives 26282
and his ways past finding 24919
and for some years after 23857
that they knew nothing about 23839
that has been made since 23787
that she knew nothing about 23452
you may have heard about 22053
that has ever been known 21940
than they have been since 21911
has not been used since 21771
and they have been found 21723
that has been said above 21615
and may make such order 21294
did not know what might 21256
may not have been quite 20275
did not even come close 20024
did you ever think about 19833
that had been taking place 19764
did not come into force 19581
did not know their names 19033
that you know nothing about 18758
can not even think about 18694
you are like most people 18686
this was true even though 18433
did not feel good about 17963
men who lost their lives 17867
that may have been taken 17864
that you have been given 17604
had not been there since 17451
had not even been aware 17201
that they have been found 17102
you for your kind words 17082
did not come back until 16812
they can make more money 16742
that has ever been given 16475
that they have been taken 16428
does not even come close 16300
deal had been said about 15958
his son into your hearts 15922
you can help your child 15629
may not know much about 15576
than had ever been known 15475
has not been lost sight 15233
than any other single cause 15020
that for some time after 14948
that has been done since 14842
has long been well known 14696
lot has been said about 14666
had not been used since 14545
does not care much about 14381
not bring forth evil fruit 14353
east and west india docks 14349
this act came into force 14318
you can make more money 14171
does not even make sense 14014
for tax years ending after 13818
than has ever been known 13760
does not seem worth while 13676
men who gave their lives 13564
may bring forth more fruit 13462
did not know nothing about 13267
that they know nothing about 13255
that may have been given 13174
did not seem worth while 13157
with his left hand while 13112
not yet come into force 13110
has not been made within 13092
that you have been talking 13048
did not have just cause 13006
that you know more about 12997
not say very much about 12975
does not even know where 12956
was not sure what would 12908
did not even care about 12908
but his eyes were still 12896
did not come home until 12893
that you have been asked 12873
that had ever been known 12749
did not feel like getting 12604
and has also been found 12453
did not make much money 12359
does not even know about 12343
did not look like anything 12287
had not been told about 12263
did not much care about 12231
that you have been working 12185
may not have been given 12159
but they have been found 12119
and his eyes were fixed 12116
