salvador l oriel chief 73305
commence a civil action 61169
receives a grant under 39741
provides a sound basis 33260
obtained a first class 28675
obtained a court order 26663
provides a focal point 22064
maintain a steady state 20636
received a nobel prize 20613
received a first class 19845
comprising a sheet metal 19354
maintain a civil action 19149
reversed a lower court 17905
received a large share 17780
provides a lower bound 17246
commencing a civil action 16935
comprising a driving shaft 16023
affirmed a lower court 16009
received a wound which 15665
occupies a floor space 15084
suffered a major defeat 14612
received a grant under 14380
launched a large scale 14232
requires a longer period 14206
provided a sound basis 13794
district a libel praying 13632
contains a court house 13111
provides a setting where 13001
provided a focal point 12997
occupies a large space 12816
received a major boost 12736
exercise a power which 12638
provides a solid basis 12628
occupied a large share 11519
otherwise i would never 11020
maintain a class action 10791
contains a table showing 10706
provides a place where 10291
comprising a drive shaft 9991
received a fatal wound 9963
received a shock which 9876
provides a legal basis 9607
undergoing a rapid change 9476
continue a short space 9436
approves a longer period 9420
maintain a given level 9397
maintain a close working 9093
produced a steady stream 9071
occupied a large space 8845
prepared a table showing 8735
provides a forum where 8620
minister i would refer 8279
occupied a large place 8219
received a passing grade 7884
provided a legal basis 7870
maintain a joint action 7856
undergoes a phase change 7709
provides a strong basis 7707
acquired a valid title 7703
required a longer period 7495
acquired a large tract 7464
approach a steady state 7405
occupies a large place 7401
received a reply which 7362
requires a court order 7330
maintain a close watch 7319
suffered a total defeat 7145
received a large order 7122
schedule d bonds owned 7111
exercising a legal right 6976
includes a table showing 6856
provided a solid basis 6763
provides a meeting place 6646
produced a white paper 6642
received a steady stream 6606
provided a place where 6595
received a flesh wound 6573
illinois a slave state 6435
negotiate a lower price 6385
appointing a proxy shall 6268
provided a meeting place 6218
received a large grant 6191
chairman i would point 6153
inserted a comma after 6148
conducting a large scale 6141
containing a wetting agent 6125
attended a meeting where 6002
therefore i would rather 6001
patients a pilot study 5988
conducting a pilot study 5977
prepared a paper which 5904
proposed a method which 5881
proposed a method based 5850
maintain a strong sense 5814
inflicting a fatal wound 5797
presents a table showing 5729
attended a joint meeting 5692
comprising a rigid frame 5642
convened a working group 5588
consider a first order 5583
proposed a model based 5502
received a fatal shock 5436
presenting a solid front 5412
children a pilot study 5388
produced a paper which 5376
undergoing a major change 5359
proposed a model which 5311
comprising a valve housing 5309
teamsters v lucas flour 5281
provided a steady stream 5230
received a small grant 5219
attended a board meeting 5202
comprising a metal plate 5147
comprise a large group 5138
organize a search party 5127
maintain a first class 5099
developing a strong sense 5096
retained a strong sense 5089
operates a large fleet 4920
describe a method which 4913
disorder a pilot study 4851
undergoes a first order 4843
provides a rapid method 4842
received a deadly wound 4790
received a reply stating 4761
chairman i would first 4728
initiated a large scale 4727
developing a large scale 4639
provided a forum where 4561
exchanged a dozen words 4494
attained a steady state 4439
governor a harry moore 4418
occupies a small space 4416
probably a major reason 4399
received a failing grade 4391
nicholas r moore thomas 4372
exercising a power which 4359
obtained a large share 4331
provides a driving force 4304
receives a large share 4292
occupied a small house 4276
survived a plane crash 4234
exercising a right which 4226
proposed a novel method 4162
prepared a table which 4131
meaningless a chasing after 4128
muttered a curse under 4097
schedule a bonds owned 4069
produces a large change 4061
includes a table finding 4028
trousers a white shirt 4022
provides a quick method 3989
provides a rough guide 3983
returned a short while 3971
purchase a large tract 3961
maintain a steady level 3949
acquired a legal title 3910
maintain a level playing 3900
promised i would never 3896
assigned a point value 3891
disobeying a court order 3891
acquired a legal right 3855
inflicting a wound which 3803
prepared a chart showing 3780
exercise a right which 3780
assessed a civil money 3755
provides a lower limit 3746
exercise a legal right 3720
comprising a first layer 3706
received a reply dated 3695
continuing a trend which 3681
received a first prize 3636
contains a rather large 3633
prepared a first draft 3627
maintain a large force 3622
provides a short title 3615
otherwise i never would 3612
occupies a place apart 3576
received a scalp wound 3561
provides a model which 3559
probably a dozen times 3524
concerns a state party 3517
captured a large share 3496
presenting a false claim 3487
committing a crime which 3479
therefore i would argue 3451
operates a fixed route 3450
chairman i would agree 3415
requires a rather large 3406
presents a model which 3387
publishing a white paper 3342
lakewood v plain dealer 3330
frederic v abbot corps 3325
children a woman would 3322
collecting a large force 3314
exhibiting a deadly weapon 3312
includes a large group 3311
conducting a focus group 3299
requires a floor space 3290
conclude a treaty which 3283
assaulting a white woman 3281
produces a phase shift 3278
provides a first order 3276
requires a large staff 3273
followed a first order 3268
attended a white house 3257
presents a novel method 3256
maintain a naval force 3244
provided a major boost 3236
remained a major issue 3236
involves a major change 3227
received a court order 3224
included a table showing 3216
negotiate a treaty which 3212
undergoes a change which 3212
provided a strong basis 3211
provides a first class 3208
probably i shall never 3205
acquires a valid title 3196
remained a focal point 3191
comprising a crank shaft 3187
maintain a steady speed 3177
signaled a turning point 3173
occupies a large share 3163
remember a story about 3140
consider a model where 3139
therefore i would appeal 3139
compiled a table showing 3134
maintain a steady growth 3131
containing a small piece 3098
achieved a steady state 3055
contains a milky juice 3054
concealed a deadly weapon 3035
requires a major change 3031
received a passing score 3030
requires a large force 3017
prepared a rough draft 3016
syndrome a pilot study 3015
prepared a working paper 3003
appendix b final rules 3001
provides a false sense 2989
provided a breathing space 2966
commands a lower price 2955
prepared a chart which 2945
absorbed a large share 2939
addressing a large crowd 2939
continuing a trend begun 2926
everyone i cared about 2913
undergoes a rapid change 2912
contains a table which 2910
consider a steady state 2905
requires a large scale 2905
committing a grave error 2900
achieved a passing score 2891
requires a waiting period 2889
containing a short vowel 2889
received a check which 2880
presents a story about 2857
received a royal grant 2849
certifying a class action 2840
deserves a large share 2808
attended a party given 2806
provides a longer period 2806
goldberg v kelly supra 2786
provides a valid basis 2779
received a green light 2778
achieves a steady state 2767
maintain a grade point 2762
chairman i might point 2754
provides a space where 2746
morrison r waite chief 2738
acquired a large share 2737
otherwise i could never 2736
maintain a large staff 2732
missouri a slave state 2701
requires a strong sense 2691
provides a broad array 2688
invented a story about 2673
therefore i shall never 2670
maintain a large stock 2666
prepared a short paper 2654
morrison v state board 2646
received a strong boost 2641
includes a ceiling price 2640
finished a first draft 2639
requires a major shift 2626
probably a major cause 2616
required a large force 2607
involved a class action 2607
obtained a large grant 2595
received a daily ration 2576
asserted a claim under 2575
occupies a space about 2570
comprising a power shaft 2567
containing a methyl group 2566
